commune;code_insee;code_postal;epci;departement;nombre_de_souscriptions_vae_classique;nombre_de_souscriptions_cargo;nombre_de_souscriptions_jo
CHARTRES;28000;28085;CA Chartres Métropole;28;<5;0;0
CHEVRY COSSIGNY;77173;77114;CC l'Orée de la Brie;77;<5;0;0
CLAYE SOUILLY;77410;77118;CA Roissy Pays de France;77;11;<5;0
COIGNIERES;78310;78168;CA de Saint-Quentin-en-Yvelines;78;6;0;0
COULOMMES;77580;77130;CA Coulommiers Pays de Brie;77;<5;0;0
COUPVRAY;77700;77132;CA Val d'Europe Agglomération;77;<5;<5;0
COURBEVOIE;92400;92026;EPT Paris Ouest La Défense;92;531;43;8
COURCOURONNES;91080;91182;;91;16;0;0
COURTOMER;77390;77138;CC Val Briard;77;<5;0;<5
CROISSY SUR SEINE;78290;78190;CA Saint-Germain Boucles de Seine;78;46;7;<5
DAMMARIE LES LYS;77190;77152;CA Melun Val de Seine;77;55;5;<5
DOMONT;95330;95199;CA Plaine Vallée;95;14;<5;0
DOURDAN;91410;91200;CC Le Dourdannais en Hurepoix (CCDH);91;13;<5;0
DRANCY;93700;93029;EPT Paris Terre d'Envol;93;197;7;<5
ECOUEN;95440;95205;CA Roissy Pays de France;95;5;0;0
EMANCE;78125;78209;CA Rambouillet Territoires;78;<5;0;0
EMERAINVILLE;77184;77169;CA Paris - Vallée de la Marne;77;10;0;0
EPINAY SUR SEINE;93800;93031;EPT Plaine Commune;93;168;<5;<5
EPONE;78680;78217;CU Grand Paris Seine et Oise;78;8;0;0
ERAGNY;95610;95218;CA de Cergy-Pontoise;95;11;<5;0
ESBLY;77450;77171;CA Val d'Europe Agglomération;77;15;<5;0
ETRECHY;91580;91226;CC Entre Juine et Renarde (CCEJR);91;5;<5;0
FERRIERES EN BRIE;77164;77181;CA Marne et Gondoire;77;12;0;0
FLERS;61100;61169;CA Flers Agglo;61;<5;0;0
FONTENAY LE VICOMTE;91540;91244;CC du Val d'Essonne (CCVE);91;<5;0;0
FONTENAY LES BRIIS;91640;91243;CC du Pays de Limours (CCPL);91;<5;0;0
FOUGERES;35300;35115;CA Fougères Agglomération;35;<5;0;0
FRENEUSE;78840;78255;CC Les Portes de l'Ile de France;78;<5;0;0
GALLUIS;78490;78262;CC Cœur d'Yvelines;78;<5;0;0
GOUVERNES;77400;77209;CA Marne et Gondoire;77;<5;0;0
GRIGNY;91350;91286;CA Grand Paris Sud Seine Essonne Sénart;91;52;0;0
GUERARD;77580;77219;CA Coulommiers Pays de Brie;77;<5;0;0
GUIGNES;77390;77222;CC Brie des Rivières et Châteaux;77;<5;0;0
HARGEVILLE;78790;78300;CU Grand Paris Seine et Oise;78;<5;0;0
HERBLAY;95220;95306;CA Val Parisis;95;60;7;0
HERMERAY;78125;78307;CA Rambouillet Territoires;78;<5;0;0
ISLES LES VILLENOY;77450;77232;CA du Pays de Meaux;77;<5;0;0
ITTEVILLE;91760;91315;CC du Val d'Essonne (CCVE);91;<5;0;0
JOINVILLE LE PONT;94340;94042;EPT Paris Est Marne et Bois;94;177;15;<5
JOUARS PONTCHARTRAIN;78760;78321;CC Cœur d'Yvelines;78;14;0;<5
JOUY LE MOUTIER;95280;95323;CA de Cergy-Pontoise;95;26;<5;0
JUVIGNAC;34990;34123;Montpellier Méditerranée Métropole;34;<5;0;0
LA CELLE ST CLOUD;78170;78126;CA Versailles Grand Parc (C.A.V.G.P.);78;121;<5;<5
LA CHAPELLE LA REINE;77760;77088;CA du Pays de Fontainebleau;77;<5;0;0
LA COURNEUVE;93120;93027;EPT Plaine Commune;93;200;5;<5
LA GENEVRAYE;77690;77202;CC Moret Seine et Loing;77;<5;0;0
LA MADELEINE SUR LOING;77570;77267;CC Gâtinais Val de Loing;77;<5;0;0
LA QUEUE EN BRIE;94510;94060;EPT Grand Paris Sud Est Avenir;94;20;<5;0
LA QUEUE LES YVELINES;78940;78513;CC Cœur d'Yvelines;78;<5;0;0
LA VILLE DU BOIS;91620;91665;CA Communauté Paris-Saclay;91;13;0;0
LAUNAGUET;31140;31282;Toulouse Métropole;31;<5;0;0
LE CHESNAY;78150;78158;CA Versailles Grand Parc (C.A.V.G.P.);78;45;<5;0
LE COUDRAY MONTCEAUX;91830;91179;CA Grand Paris Sud Seine Essonne Sénart;91;<5;0;0
LE HAVRE;76620;76351;CU Le Havre Seine Métropole;76;<5;0;0
LE PERREUX SUR MARNE;94170;94058;EPT Paris Est Marne et Bois;94;219;21;<5
LE PETIT QUEVILLY;76140;76498;Métropole Rouen Normandie;76;<5;0;0
LE PLESSIS PATE;91220;91494;CA Cœur d'Essonne Agglomération;91;8;0;0
LES ESSARTS LE ROI;78690;78220;CA Rambouillet Territoires;78;8;0;0
LES PAVILLONS SOUS BOIS;93320;93057;EPT Grand Paris Grand Est;93;95;<5;0
LEVROUX;36110;36093;CC de la Région de Levroux;36;<5;0;0
LIMOURS;91470;91338;CC du Pays de Limours (CCPL);91;15;<5;0
LINAS;91310;91339;CA Communauté Paris-Saclay;91;19;<5;0
LOUVECIENNES;78430;78350;CA Saint-Germain Boucles de Seine;78;31;0;0
LOUVRES;95380;95351;CA Roissy Pays de France;95;8;0;0
MAGNANVILLE;78200;78354;CU Grand Paris Seine et Oise;78;12;0;0
MAREIL LE GUYON;78490;78366;CC Cœur d'Yvelines;78;<5;0;0
MARNES LA COQUETTE;92430;92047;EPT Grand Paris Seine Ouest;92;11;0;<5
MAUREPAS;78310;78383;CA de Saint-Quentin-en-Yvelines;78;31;<5;0
MEDAN;78670;78384;CU Grand Paris Seine et Oise;78;<5;0;0
MENUCOURT;95180;95388;CA de Cergy-Pontoise;95;9;0;0
MEULAN EN YVELINES;78250;78401;CU Grand Paris Seine et Oise;78;16;0;0
MEZIERES SUR SEINE;78970;78402;CU Grand Paris Seine et Oise;78;<5;0;0
MEZY SUR SEINE;78250;78403;CU Grand Paris Seine et Oise;78;7;0;0
MITRY MORY;77290;77294;CA Roissy Pays de France;77;12;<5;0
MOIGNY SUR ECOLE;91490;91408;CC des Deux Vallées;91;<5;0;0
MONNERVILLE;91930;91414;CA Étampois Sud-Essonne;91;<5;0;0
MONTAINVILLE;78124;78415;CC Gally Mauldre;78;<5;0;0
MONTATAIRE;60160;60414;CA Creil Sud Oise;60;<5;0;0
MONTEVRAIN;77144;77307;CA Marne et Gondoire;77;38;<5;0
MONTIGNY LES CORMEILLES;95370;95424;CA Val Parisis;95;27;<5;0
MONTMORENCY;95160;95428;CA Plaine Vallée;95;97;10;0
MONTRY;77450;77315;CA Val d'Europe Agglomération;77;7;0;0
MORAINVILLIERS;78630;78431;CU Grand Paris Seine et Oise;78;<5;<5;0
MORMANT;77720;77317;CC Brie Nangissienne;77;<5;0;0
MOUROUX;77120;77320;CA Coulommiers Pays de Brie;77;6;0;0
MULHOUSE;68200;68224;CA Mulhouse Alsace Agglomération;68;<5;0;0
NANDY;77176;77326;CA Grand Paris Sud Seine Essonne Sénart;77;<5;<5;0
NANTERRE;92000;92050;EPT Paris Ouest La Défense;92;729;47;6
NARGIS;45210;45222;CC des Quatre Vallées;45;<5;0;0
NEZEL;78410;78451;CU Grand Paris Seine et Oise;78;<5;0;0
NOGENT SUR MARNE;94130;94052;EPT Paris Est Marne et Bois;94;283;39;<5
NOISEAU;94880;94053;EPT Grand Paris Sud Est Avenir;94;10;<5;0
NONVILLE;77140;77340;CC Moret Seine et Loing;77;0;<5;0
ORSAY;91400;91471;CA Communauté Paris-Saclay;91;162;5;0
OSNY;95520;95476;CA de Cergy-Pontoise;95;29;<5;0
PARIS 01;75001;75101;Paris;75;367;20;<5
PARIS 16;75116;75116;Paris;75;483;39;10
PARMAIN;95620;95480;CC de la Vallée de l'Oise et des Trois Forêts;95;6;0;0
PERSAN;95340;95487;CC du Haut Val d'Oise;95;16;0;0
PIERRELAYE;95480;95488;CA Val Parisis;95;14;0;0
PONTOISE;95000;95500;CA de Cergy-Pontoise;95;25;0;0
PRESLES;95590;95504;CC de la Vallée de l'Oise et des Trois Forêts;95;<5;0;0
QUINCY VOISINS;77860;77382;CA du Pays de Meaux;77;<5;0;0
RAIZEUX;78125;78516;CA Rambouillet Territoires;78;<5;0;0
RECLOSES;77760;77386;CA du Pays de Fontainebleau;77;<5;0;0
ROCQUENCOURT;78150;78524;;78;162;23;<5
ROISSY EN FRANCE;95700;95527;CA Roissy Pays de France;95;<5;0;0
RUNGIS;94150;94065;EPT Grand Orly Val de Bièvre Seine Amont;94;18;<5;0
SACLAY;91400;91534;CA Communauté Paris-Saclay;91;14;<5;0
SAILLY;78440;78536;CU Grand Paris Seine et Oise;78;<5;0;0
SAVIGNY LE TEMPLE;77176;77445;CA Grand Paris Sud Seine Essonne Sénart;77;19;<5;0
SAVIGNY SUR ORGE;91600;91589;EPT Grand Orly Val de Bièvre Seine Amont;91;88;<5;0
SOISY BOUY;77650;77456;CC du Provinois;77;<5;0;0
SOISY SUR SEINE;91450;91600;CA Grand Paris Sud Seine Essonne Sénart;91;25;<5;0
SONCHAMP;78120;78601;CA Rambouillet Territoires;78;5;0;0
ST CYR L ECOLE;78210;78545;CA Versailles Grand Parc (C.A.V.G.P.);78;64;5;<5
ST GERMAIN LES CORBEIL;91250;91553;CA Grand Paris Sud Seine Essonne Sénart;91;<5;0;0
ST GERMAIN SOUS DOUE;77169;77411;CC des Deux Morin;77;<5;0;0
ST MANDE;94160;94067;EPT Paris Est Marne et Bois;94;271;24;<5
ST MAUR DES FOSSES;94100;94068;EPT Paris Est Marne et Bois;94;441;46;8
ST MAUR DES FOSSES;94210;94068;EPT Paris Est Marne et Bois;94;92;14;0
ST MAURICE MONTCOURONNE;91530;91568;CC du Pays de Limours (CCPL);91;6;0;0
ST NOM LA BRETECHE;78860;78571;CC Gally Mauldre;78;13;<5;0
ST REMY LA VANNE;77320;77432;CC des Deux Morin;77;<5;0;0
ST SULPICE DE FAVIERES;91910;91578;CC Entre Juine et Renarde (CCEJR);91;<5;0;0
ST WITZ;95470;95580;CA Roissy Pays de France;95;<5;0;0
STE COLOMBE;77650;77404;CC du Provinois;77;<5;0;0
STE GENEVIEVE DES BOIS;91700;91549;CA Cœur d'Essonne Agglomération;91;50;7;0
SURESNES;92150;92073;EPT Paris Ouest La Défense;92;513;31;<5
THORIGNY SUR MARNE;77400;77464;CA Marne et Gondoire;77;19;0;<5
TROYES;10000;10387;CA Troyes Champagne Métropole;10;<5;0;0
VALMONDOIS;95760;95628;CC Sausseron Impressionnistes;95;<5;0;0
VARENNES JARCY;91480;91631;CC l'Orée de la Brie;91;5;<5;0
VARENNES SUR SEINE;77130;77482;CC Pays de Montereau;77;<5;0;0
VAUDOY EN BRIE;77141;77486;CC Val Briard;77;<5;0;0
VENEUX LES SABLONS;77250;77491;;77;0;<5;0
VIGNELY;77450;77498;CA du Pays de Meaux;77;<5;0;0
VILLEBON SUR YVETTE;91140;91661;CA Communauté Paris-Saclay;91;51;<5;0
VILLEMER;77250;77506;CC Moret Seine et Loing;77;<5;0;0
VILLENEUVE LE COMTE;77174;77508;CA Val d'Europe Agglomération;77;<5;0;0
VILLEPREUX;78450;78674;CA de Saint-Quentin-en-Yvelines;78;18;0;0
VILLIERS SOUS GREZ;77760;77520;CC Pays de Nemours;77;<5;0;0
VINCENNES;94300;94080;EPT Paris Est Marne et Bois;94;619;68;6
VOISINS LE BRETONNEUX;78960;78688;CA de Saint-Quentin-en-Yvelines;78;45;7;0
