commune;code_insee;code_postal;epci;departement;nombre_de_souscriptions_vae_classique;nombre_de_souscriptions_cargo;nombre_de_souscriptions_jo
BUC;78530;78117;CA Versailles Grand Parc (C.A.V.G.P.);78;80;8;<5
BUNO BONNEVAUX;91720;91121;CC des Deux Vallées;91;<5;0;0
BURES SUR YVETTE;91440;91122;CA Communauté Paris-Saclay;91;85;5;<5
BUSSIERES;77750;77057;CA Coulommiers Pays de Brie;77;<5;0;0
CACHAN;94230;94016;EPT Grand Orly Val de Bièvre Seine Amont;94;358;27;<5
CHALO ST MARS;91780;91130;CA Étampois Sud-Essonne;91;<5;0;0
CHAMPAGNE SUR SEINE;77430;77079;CC Moret Seine et Loing;77;9;0;0
CHAMPIGNY SUR MARNE;94500;94017;EPT Paris Est Marne et Bois;94;334;30;<5
CHANTELOUP EN BRIE;77600;77085;CA Marne et Gondoire;77;5;0;0
CHAPET;78130;78140;CU Grand Paris Seine et Oise;78;<5;0;0
CHARNY;77410;77095;CC Plaines et Monts de France;77;<5;0;0
CHATEAU LANDON;77570;77099;CC Gâtinais Val de Loing;77;<5;0;0
CHATIGNONVILLE;91410;91145;CA Étampois Sud-Essonne;91;<5;0;0
CHELLES;77500;77108;CA Paris - Vallée de la Marne;77;100;8;0
COLOMBES;92700;92025;EPT Boucle Nord de Seine;92;782;89;10
CONDECOURT;95450;95170;CC Vexin Centre;95;<5;0;0
CORMEILLES EN PARISIS;95240;95176;CA Val Parisis;95;79;<5;0
COUBRON;93470;93015;EPT Grand Paris Grand Est;93;8;0;0
COURSON MONTELOUP;91680;91186;CC du Pays de Limours (CCPL);91;0;<5;0
CRECY LA CHAPELLE;77580;77142;CA Coulommiers Pays de Brie;77;<5;0;0
CREIL;60100;60175;CA Creil Sud Oise;60;6;0;0
CRESPIERES;78121;78189;CC Gally Mauldre;78;0;0;<5
CROUY SUR OURCQ;77840;77148;CC du Pays de l'Ourcq;77;<5;0;0
DAMPMART;77400;77155;CA Marne et Gondoire;77;9;0;0
DANNEMOIS;91490;91195;CC des Deux Vallées;91;<5;0;0
DARVAULT;77140;77156;CC Pays de Nemours;77;0;<5;0
DRAVEIL;91210;91201;CA Val d'Yerres Val de Seine;91;59;5;0
DUGNY;93440;93030;EPT Paris Terre d'Envol;93;23;0;<5
ELBEUF;76500;76231;Métropole Rouen Normandie;76;<5;0;0
ERMONT;95120;95219;CA Val Parisis;95;65;<5;0
EVECQUEMONT;78740;78227;CU Grand Paris Seine et Oise;78;<5;0;0
FERICY;77133;77179;CC Brie des Rivières et Châteaux;77;<5;0;0
FLEXANVILLE;78910;78236;CC Cœur d'Yvelines;78;<5;0;0
FONTENAY AUX ROSES;92260;92032;EPT Vallée Sud Grand Paris;92;280;21;<5
FRESNES;94260;94034;EPT Grand Orly Val de Bièvre Seine Amont;94;126;7;<5
GAGNY;93220;93032;EPT Grand Paris Grand Est;93;117;<5;<5
GOMETZ LE CHATEL;91940;91275;CA Communauté Paris-Saclay;91;12;0;0
GOURNAY SUR MARNE;93460;93033;EPT Grand Paris Grand Est;93;33;<5;<5
GRETZ ARMAINVILLIERS;77220;77215;CC Les Portes Briardes entre Villes et Forêts;77;<5;0;0
GUIRY EN VEXIN;95450;95295;CC Vexin Centre;95;<5;0;0
GUYANCOURT;78280;78297;CA de Saint-Quentin-en-Yvelines;78;73;8;<5
IVRY SUR SEINE;94200;94041;EPT Grand Orly Val de Bièvre Seine Amont;94;704;53;6
JAMBVILLE;78440;78317;CU Grand Paris Seine et Oise;78;<5;0;0
JOIGNY;89300;89206;CC du Jovinien;89;<5;0;0
JOUQUEVIEL;81190;81110;CC Carmausin-Ségala;81;<5;0;0
